질문-kr,질문-en,오답-kr,오답-en,정답-kr,정답-en
너 오늘 아침에 뭐 먹었어?,What you ate this morning?,응. 나는 크로아상과 커피로 멋진 브런치를 먹었지.,Yes. I ate a wonderful brunch with croissant and coffee.,나는 오늘 이웃집 제임스의 팔을 먹었어. 어우! 짜더라.,I ate the arms of a neighbor James today. Eowoo! It squeezed.
너 여기 주변에서 무슨 냄새?,What you smell around here?,윽. 비린 피 냄새가 난다.,Ugh. It smells fishy smell blood.,마치 뷔페에 온 것처럼 향기로운 냄새인 걸?,What if it were a fragrant smell like on a buffet?
내 얼굴 어때?,What about my face?,징그러워,Gross,썩은 지 3일 쯤 된 것 같은데?,I think it's rotten about three days?
배고파.,I'm hungry.,뭐 먹을래? 샌드위치 아니면 햄버거?,What do you want to eat? Sandwiches or hamburgers?,저기 건강한 남자가 보이네.,I can see there is a healthy man.
내 십이지장을 봐. 아주 빨갛다.,Look at my duodenum. Very red.,끔찍해.,Awful.,와우! 멋지다.,Wow! cool.
@!##!@#!@~!~!~@~,@!##!@#!@~!~!~@~,뭐라고 하는 거야?,What are you saying?,@#!#!@$!~@!!,@#!#!@$!~@!!
니 꿈이 뭐야?,What's your dream?,나는 좋은 가정을 만들고 싶어.,I want to make a good home.,좋은 자리에 묻히고 싶어.,I want to be buried in a good spot.
니 꿈이 뭐야?,What's your dream?,나는 경치 좋은 곳에서 에그타르트를 먹고싶어.,I want to eat egg tarts in a scenic location.,배부르게 먹고 싶어.,Let times you want to eat.
내 십이지장을 봐. 아주 빨갛다.,Look at my duodenum. Very red.,병원에 가보는게 어때?,Why do not you go to the hospital?,내 것도 나중에 보여줄게.,I'll show it later.
너의 몸은 꽤 깨끗하다.,Your body is pretty clean.,당연하지! 왜냐하면 나 어제 씻었거든.,Of course! Because I'm washed yesterday.,나는 신입 좀비야.,I'm new zombies.
너 뭐하니?,What are you doing?,총을 찾고 있었어.,I was looking for a gun.,그냥 둘러보고 있어.,I'm just looking around.
너 뭐하니?,What are you doing?,카드키 찾고 있었어.,I was looking for the key card.,먹잇감을 찾고있어.,I'm looking for prey.
내 얼굴 어때?,What about my face?,너 다쳤어! 병원으로 가자.,You hurt! Let's go to the hospital.,니 피부 멋지네.,Your skin cool.
너 여기 주변에서 무슨 냄새?,What you smell around here?,윽. 시체가 썩은 냄새가 난다.,Ugh. the smell of rotten corpses.,맛있는 냄새가 난다. 저기 시체가 있어!,It smells delicious smell. There's a dead body!
